aX,aY,aZ,label
0.26,-1.37,0.14,4
0.23,-0.50,-0.51,4
-0.17,-0.60,-0.04,4
-0.22,-0.88,-0.73,4
-0.23,-0.92,-0.58,4
-0.19,-0.83,-0.51,4
-0.03,-0.81,-0.98,4
0.10,-0.41,-0.66,4
0.71,-0.94,-0.59,4
0.39,-0.04,-1.14,4
0.26,-0.02,-0.71,4
-0.01,0.12,-0.89,4
0.10,-0.00,-1.08,4
0.17,-0.00,-0.99,4
