audio,label
-42,1
-56,1
-72,1
-73,1
-71,1
-79,1
-81,1
-74,1
-63,1
-49,1
-36,1
-21,1
-11,1
-7,1
-2,1
-3,1
-2,1
-1,1
0,1
0,1
-6,1
-10,1
-14,1
-20,1
-26,1
-36,1
-46,1
-45,1
-50,1
-57,1
-63,1
-70,1
-67,1
-71,1
-71,1
-76,1
-68,1
-58,1
-61,1
-59,1
-63,1
-62,1
-65,1
-59,1
-56,1
-55,1
-48,1
-39,1
-34,1
-22,1
-14,1
-4,1
8,1
7,1
16,1
17,1
18,1
17,1
3,1
-8,1
-20,1
-34,1
-41,1
-46,1
-49,1
-48,1
-52,1
-52,1
-52,1
-53,1
-51,1
-43,1
-33,1
-23,1
-15,1
-6,1
4,1
10,1
15,1
26,1
30,1
36,1
33,1
36,1
38,1
33,1
40,1
47,1
43,1
50,1
51,1
48,1
55,1
51,1
45,1
39,1
37,1
32,1
22,1
8,1
-2,1
-7,1
-16,1
-24,1
-29,1
-29,1
-35,1
-74,1
-74,1
-70,1
-59,1
-55,1
-53,1
-51,1
-45,1
-36,1
-30,1
-24,1
-7,1
0,1
9,1
19,1
32,1
43,1
49,1
54,1
63,1
65,1
62,1
67,1
69,1
69,1
64,1
69,1
69,1
75,1
75,1
73,1
69,1
63,1
58,1
48,1
34,1
19,1
10,1
1,1
-7,1
-21,1
-23,1
-31,1
-44,1
-50,1
-51,1
-57,1
-60,1
-61,1
-66,1
-70,1
-71,1
-70,1
-68,1
-62,1
-56,1
-48,1
-39,1
-32,1
-24,1
-18,1
-11,1
-9,1
-2,1
-1,1
-4,1
-4,1
-10,1
114,1
117,1
114,1
113,1
107,1
98,1
90,1
75,1
69,1
58,1
49,1
46,1
37,1
28,1
14,1
2,1
-7,1
-24,1
-42,1
-57,1
-62,1
-69,1
-74,1
-70,1
-65,1
-66,1
-62,1
-60,1
-53,1
-45,1
-43,1
-36,1
-33,1
-28,1
-19,1
-8,1
0,1
6,1
13,1
19,1
23,1
30,1
37,1
41,1
48,1
51,1
52,1
62,1
58,1
56,1
60,1
66,1
64,1
55,1
53,1
53,1
50,1
45,1
42,1
39,1
45,1
44,1
51,1
51,1
59,1
68,1
70,1
78,1
83,1
90,1
92,1
93,1
-39,1
-43,1
-39,1
-27,1
-20,1
-11,1
8,1
14,1
18,1
28,1
32,1
30,1
30,1
35,1
42,1
45,1
52,1
55,1
58,1
61,1
53,1
45,1
51,1
43,1
37,1
37,1
39,1
35,1
21,1
20,1
17,1
13,1
12,1
16,1
19,1
19,1
29,1
39,1
45,1
49,1
53,1
54,1
56,1
65,1
70,1
82,1
86,1
90,1
84,1
92,1
91,1
87,1
80,1
74,1
68,1
59,1
54,1
54,1
54,1
52,1
42,1
35,1
28,1
21,1
16,1
10,1
3,1
-9,1
-17,1
-20,1
-31,1
-34,1
-32,1
-33,1
-35,1
-33,1
-29,1
-28,1
-25,1
-21,1
-16,1
-8,1
1,1
8,1
12,1
7,1
10,1
20,1
32,1
47,1
59,1
65,1
66,1
60,1
57,1
44,1
38,1
28,1
25,1
26,1
28,1
30,1
25,1
17,1
12,1
10,1
13,1
17,1
17,1
21,1
20,1
25,1
33,1
44,1
53,1
58,1
62,1
71,1
77,1
84,1
87,1
88,1
93,1
86,1
86,1
88,1
82,1
82,1
76,1
74,1
68,1
-43,1
-30,1
-19,1
-7,1
4,1
15,1
20,1
19,1
25,1
29,1
36,1
44,1
46,1
42,1
41,1
28,1
20,1
13,1
7,1
6,1
8,1
1,1
-4,1
-9,1
-13,1
-8,1
-8,1
-2,1
4,1
6,1
12,1
15,1
20,1
30,1
37,1
55,1
63,1
67,1
64,1
66,1
67,1
71,1
82,1
91,1
88,1
80,1
70,1
62,1
54,1
50,1
51,1
46,1
37,1
25,1
23,1
20,1
21,1
20,1
9,1
-8,1
-20,1
-31,1
-38,1
-44,1
-49,1
-50,1
-53,1
-49,1
-48,1
-54,1
-44,1
-34,1
-32,1
-36,1
-34,1
-13,1
-15,1
-13,1
-11,1
-10,1
-13,1
-8,1
-4,1
-2,1
7,1
14,1
13,1
13,1
11,1
10,1
16,1
23,1
25,1
29,1
26,1
25,1
22,1
20,1
23,1
22,1
17,1
14,1
15,1
11,1
18,1
17,1
21,1
23,1
24,1
29,1
22,1
26,1
29,1
20,1
10,1
10,1
13,1
3,1
-4,1
-2,1
-8,1
-20,1
-20,1
-23,1
-28,1
-35,1
-43,1
-44,1
-41,1
-42,1
-38,1
-33,1
-29,1
-21,1
-15,1
-8,1
-3,1
6,1
11,1
15,1
23,1
24,1
15,1
16,1
26,1
28,1
24,1
19,1
19,1
23,1
30,1
24,1
19,1
8,1
-5,1
-15,1
-19,1
-22,1
-21,1
-27,1
-36,1
-40,1
-41,1
-45,1
-49,1
-51,1
-53,1
-57,1
-64,1
-71,1
-71,1
-71,1
-70,1
-68,1
-74,1
-69,1
-57,1
-41,1
-28,1
-12,1
-1,1
7,1
14,1
