aX,aY,aZ,label
-0.10608,-0.64294,0.83582,3
-0.08472,-0.65515,0.68982,3
-0.15210,-0.85864,0.48206,3
-0.17017,-0.94922,0.36548,3
-0.18640,-0.96021,0.27222,3
-0.28723,-1.07080,0.03015,3
-0.24744,-1.00879,0.06946,3
-0.21460,-0.99060,0.07690,3
-0.17236,-0.93713,0.04907,3
-0.11243,-0.93555,0.02197,3
-0.04407,-0.92261,-0.00342,3
0.00671,-1.00171,0.20801,3
-0.00586,-0.95288,0.39404,3
-0.01868,-0.78870,0.64050,3
-0.08765,-0.66711,0.73865,3
-0.15100,-0.68030,0.69397,3
-0.19141,-0.84814,0.50830,3
-0.21045,-0.97803,0.36218,3
-0.30457,-0.81213,0.11523,3
-0.32092,-0.85620,0.51807,3
-0.30859,-0.72095,0.57825,3
-0.33081,-0.69666,0.65356,3
-0.34888,-0.64465,0.62939,3
-0.38196,-0.78967,0.39587,3
-0.37036,-0.91028,0.22717,3
-0.36853,-0.89795,0.08130,3
-0.31775,-1.01355,0.12561,3
-0.22217,-0.80334,0.34326,3
-0.17151,-0.81116,0.59888,3
-0.15723,-0.63965,0.75806,3
-0.17358,-0.57446,0.77881,3
-0.21838,-0.83521,0.58276,3
-0.23987,-0.89685,0.31641,3
-0.26062,-0.91064,0.21350,3
-0.21387,-0.83252,0.31897,3
-0.16724,-0.87146,0.56628,3
-0.13892,-0.55615,0.80469,3
-0.12048,-0.50122,0.84949,3
-0.17017,-0.72852,0.60168,3
-0.25415,-0.97107,0.39062,3
-0.25342,-1.02002,0.33032,3
-0.22205,-0.96179,0.32214,3
-0.11206,-0.64087,0.67993,3
-0.10571,-0.44019,0.84827,3
-0.16821,-0.67517,0.64380,3
-0.20227,-0.94080,0.36890,3
-0.23230,-0.93689,0.23267,3
-0.27307,-1.11487,0.12756,3
-0.15234,-0.88550,0.42725,3
-0.15820,-0.86060,0.55786,3
-0.11060,-0.71777,0.65405,3
-0.16846,-0.77441,0.66882,3
-0.17212,-0.76233,0.63611,3
-0.17700,-0.73633,0.61389,3
-0.18359,-0.75940,0.62158,3
-0.18018,-0.80457,0.59753,3
-0.18103,-0.81909,0.50037,3
-0.21521,-0.89697,0.46667,3
-0.22266,-0.90833,0.40869,3
-0.21667,-0.91858,0.36218,3
-0.21606,-0.92261,0.34619,3
-0.19666,-0.92529,0.40637,3
-0.17712,-0.87988,0.38672,3
-0.18469,-0.90234,0.40723,3
-0.17786,-0.87549,0.42969,3
-0.17920,-0.87805,0.45020,3
-0.18420,-0.87244,0.41614,3
-0.17798,-0.88293,0.43506,3
-0.18030,-0.88428,0.44885,3
-0.17932,-0.87927,0.42200,3
-0.17358,-0.88184,0.45203,3
-0.16406,-0.88977,0.45374,3
-0.15991,-0.89392,0.41992,3
-0.14697,-0.89905,0.42322,3
-0.12280,-0.86633,0.42261,3
-0.13086,-0.89221,0.46399,3
-0.11768,-0.88049,0.42090,3
-0.11755,-0.90234,0.46594,3
-0.10083,-0.88330,0.44189,3
-0.07581,-0.90857,0.46130,3
-0.04834,-0.86658,0.44946,3
-0.02844,-0.89392,0.46643,3
-0.02612,-0.93298,0.44690,3
-0.00342,-0.86646,0.42651,3
-0.00330,-0.88440,0.47412,3
-0.01135,-0.92871,0.45264,3
0.00708,-0.86487,0.46155,3
0.00208,-0.91296,0.47412,3
0.02075,-0.88538,0.45874,3
0.02966,-0.87402,0.45386,3
0.02478,-0.88098,0.44958,3
0.00244,-0.86230,0.42773,3
-0.04199,-0.95142,0.40796,3
-0.07434,-0.88110,0.38757,3
-0.13269,-0.88611,0.40234,3
-0.16357,-0.91553,0.40027,3
-0.19897,-0.93323,0.34546,3
-0.22437,-0.92297,0.31494,3
-0.20581,-0.97754,0.39465,3
-0.15283,-0.92749,0.33728,3
-0.07703,-0.96155,0.37109,3
-0.02979,-0.94202,0.39978,3
0.00269,-0.93530,0.37598,3
0.01965,-0.92920,0.39111,3
0.03760,-0.91711,0.41162,3
0.03748,-0.91211,0.40576,3
0.03149,-0.90100,0.39294,3
0.03271,-0.90771,0.38281,3
0.03052,-0.92041,0.37622,3
0.02393,-0.93762,0.39062,3
0.02734,-0.91467,0.37830,3
0.00696,-0.92542,0.36926,3
-0.01843,-0.91125,0.27478,3
-0.04810,-0.89197,0.22656,3
-0.10840,-0.94800,0.22473,3
-0.17969,-0.90442,0.15430,3
-0.21680,-0.93152,0.38037,3
-0.24841,-0.80310,0.44226,3
-0.25806,-0.76172,0.60901,3
-0.22229,-0.72229,0.65039,3
-0.27869,-0.97754,0.42175,3
-0.23145,-0.85608,0.26013,3
-0.21216,-0.87366,0.32202,3
-0.24561,-1.05420,0.25305,3
-0.10669,-0.86487,0.37891,3
-0.11804,-0.86414,0.53613,3
-0.07837,-0.68787,0.68335,3
-0.09961,-0.66052,0.77051,3
-0.07190,-0.69385,0.72888,3
-0.10938,-0.83545,0.60132,3
-0.13501,-0.83777,0.48010,3
-0.15649,-0.86511,0.41711,3
-0.20361,-0.93408,0.25537,3
-0.26978,-0.97437,0.25305,3
-0.24768,-0.82532,0.31970,3
-0.19629,-0.78186,0.53687,3
-0.21619,-0.70825,0.70581,3
-0.23584,-0.69080,0.66699,3
-0.23499,-0.82544,0.51489,3
