x,y,z,activity
-0.32031,0.33484,0.88586,1
-0.31238,0.12561,0.96460,1
-0.29187,0.05078,0.96973,1
-0.29822,-0.01367,0.96375,1
-0.30042,-0.10535,0.97119,1
-0.29724,-0.13135,0.92139,1
-0.29846,-0.15540,0.95264,1
-0.29797,-0.12378,0.92261,1
-0.30054,-0.00317,0.90991,1
-0.29028,0.10522,0.94922,1
-0.32166,0.17188,0.93787,1
-0.31738,0.32141,0.85901,1
-0.32715,0.30481,0.94788,1
-0.33313,0.13440,0.99634,1
-0.34009,0.01086,0.93286,1
-0.33130,-0.09485,0.97009,1
-0.34106,-0.17822,0.93066,1
-0.33191,-0.15259,0.92786,1
-0.34521,-0.07129,1.00293,1
-0.33594,0.00366,1.01331,1
-0.28528,0.15808,0.93945,1
-0.28015,0.12610,0.94983,1
-0.25122,0.15735,0.89600,1
-0.22656,0.11707,0.98230,1
-0.18750,0.16211,0.96741,1
-0.15833,0.15710,1.01611,1
-0.10168,0.10120,0.97339,1
-0.06165,0.07324,0.98840,1
-0.03259,0.04150,0.99890,1
-0.00391,0.03491,1.03271,1
0.02881,0.07312,0.99854,1
0.03943,0.06616,0.97656,1
0.03381,0.06042,0.99475,1
0.00073,0.02917,0.98962,1
-0.06848,-0.01428,1.01587,1
-0.14722,0.07446,1.13245,1
-0.18225,-0.00952,0.98560,1
-0.24670,-0.08508,1.03503,1
-0.30212,-0.15186,1.04639,1
-0.29248,0.05286,0.94055,1
-0.06702,-0.02588,0.84131,1
-0.18909,-0.03528,1.01257,1
-0.20398,-0.04260,1.05103,1
-0.22644,-0.08191,0.92407,1
-0.30273,-0.10681,0.93152,1
-0.35852,-0.13171,0.94226,1
-0.33911,-0.08716,1.02856,1
-0.25427,0.08801,0.87585,1
-0.16418,0.00415,0.88794,1
-0.13464,-0.04016,0.97876,1
-0.12695,-0.19934,0.96118,1
-0.16174,-0.27222,0.87451,1
-0.23206,-0.32593,0.99817,1
-0.29395,-0.33618,0.84436,1
-0.28003,-0.39355,0.89807,1
-0.30920,-0.06885,0.79028,1
-0.26624,0.19238,0.90588,1
-0.26611,0.18701,0.99658,1
-0.19373,0.30225,1.11707,1
-0.15173,0.11133,0.99426,1
-0.14734,0.00610,0.92932,1
-0.16284,-0.12732,0.96851,1
-0.20679,-0.29102,0.91431,1
-0.26855,-0.31580,0.88025,1
-0.28540,0.02979,1.00488,1
-0.31262,0.16248,0.99207,1
-0.27966,0.20789,1.00610,1
-0.25098,0.35718,0.83435,1
-0.25171,0.45068,0.80542,1
-0.23730,0.35571,0.90540,1
-0.23437,0.06238,0.94861,1
-0.24048,-0.15442,0.97083,1
-0.24341,-0.28613,0.93372,1
-0.25256,-0.40857,0.88245,1
-0.23572,-0.33093,0.96216,1
-0.21240,-0.02490,0.98694,1
-0.21826,0.18555,0.99316,1
-0.20532,0.38074,0.93457,1
-0.20203,0.47498,0.83289,1
-0.22021,0.44250,0.86731,1
-0.21997,0.21448,0.92920,1
-0.24048,-0.04626,0.97424,1
-0.22742,-0.20093,0.94397,1
-0.25073,-0.40942,0.91333,1
-0.26892,-0.42273,0.89880,1
-0.23486,-0.21887,1.01001,1
-0.21826,0.15454,1.00146,1
-0.20862,0.29749,0.94177,1
-0.20178,0.17371,0.91052,1
-0.20544,-0.09387,0.94006,1
-0.23877,-0.23743,0.93604,1
-0.25574,-0.43958,0.93518,1
-0.27466,-0.54687,0.85120,1
-0.28918,-0.49719,0.82715,1
-0.28345,-0.36255,0.94104,1
-0.28894,-0.16992,0.95825,1
-0.30676,-0.13269,0.94116,1
-0.29468,-0.12854,1.00879,1
-0.27307,0.02344,0.89893,1
-0.27222,0.12280,0.98657,1
-0.22656,0.29028,0.94934,1
