customer,activity,createdAt,x,y,z
136,1,Fri Feb 02 2024 06:46:49 GMT+0700 (Indochina Time),-0.257,0.32,9.732
136,1,Fri Feb 02 2024 06:46:49 GMT+0700 (Indochina Time),-0.262,0.323,9.739
136,1,Fri Feb 02 2024 06:46:50 GMT+0700 (Indochina Time),-0.263,0.325,9.738
136,1,Fri Feb 02 2024 06:46:50 GMT+0700 (Indochina Time),-0.267,0.327,9.739
136,1,Fri Feb 02 2024 06:46:50 GMT+0700 (Indochina Time),-0.27,0.329,9.738
136,1,Fri Feb 02 2024 06:46:50 GMT+0700 (Indochina Time),-0.27,0.329,9.735
136,1,Fri Feb 02 2024 06:46:50 GMT+0700 (Indochina Time),-0.272,0.332,9.741
136,1,Fri Feb 02 2024 06:46:50 GMT+0700 (Indochina Time),-0.274,0.332,9.74
136,1,Fri Feb 02 2024 06:46:50 GMT+0700 (Indochina Time),-0.276,0.332,9.739
136,1,Fri Feb 02 2024 06:46:50 GMT+0700 (Indochina Time),-0.28,0.334,9.735
136,1,Fri Feb 02 2024 06:46:50 GMT+0700 (Indochina Time),-0.275,0.342,9.733
136,1,Fri Feb 02 2024 06:46:50 GMT+0700 (Indochina Time),-0.269,0.348,9.736
136,1,Fri Feb 02 2024 06:46:50 GMT+0700 (Indochina Time),-1.341,-0.726,8.647
136,1,Fri Feb 02 2024 06:46:50 GMT+0700 (Indochina Time),-1.338,-0.716,8.648
136,1,Fri Feb 02 2024 06:46:50 GMT+0700 (Indochina Time),-1.346,-0.699,8.65
136,1,Fri Feb 02 2024 06:46:51 GMT+0700 (Indochina Time),-1.344,-0.686,8.652
136,1,Fri Feb 02 2024 06:46:51 GMT+0700 (Indochina Time),-1.331,-0.679,8.654
136,1,Fri Feb 02 2024 06:46:51 GMT+0700 (Indochina Time),-1.329,-0.663,8.652
136,1,Fri Feb 02 2024 06:46:51 GMT+0700 (Indochina Time),-1.344,-0.66,8.65
136,1,Fri Feb 02 2024 06:46:51 GMT+0700 (Indochina Time),-1.345,-0.65,8.647
136,1,Fri Feb 02 2024 06:46:51 GMT+0700 (Indochina Time),-1.326,-0.633,8.647
136,1,Fri Feb 02 2024 06:46:51 GMT+0700 (Indochina Time),-1.325,-0.627,8.641
136,1,Fri Feb 02 2024 06:46:51 GMT+0700 (Indochina Time),-1.331,-0.625,8.642
136,1,Fri Feb 02 2024 06:46:51 GMT+0700 (Indochina Time),-1.35,-0.623,8.639
136,1,Fri Feb 02 2024 06:46:51 GMT+0700 (Indochina Time),-1.346,-0.614,8.64
136,1,Fri Feb 02 2024 06:46:51 GMT+0700 (Indochina Time),0.337,1.063,10.322
136,1,Fri Feb 02 2024 06:46:51 GMT+0700 (Indochina Time),0.329,1.054,10.318
136,1,Fri Feb 02 2024 06:46:52 GMT+0700 (Indochina Time),0.336,1.038,10.318
136,1,Fri Feb 02 2024 06:46:52 GMT+0700 (Indochina Time),0.347,1.035,10.319
136,1,Fri Feb 02 2024 06:46:52 GMT+0700 (Indochina Time),0.349,1.015,10.317
136,1,Fri Feb 02 2024 06:46:52 GMT+0700 (Indochina Time),0.345,1.005,10.316
136,1,Fri Feb 02 2024 06:46:52 GMT+0700 (Indochina Time),0.352,1.001,10.315
136,1,Fri Feb 02 2024 06:46:52 GMT+0700 (Indochina Time),0.356,0.988,10.315
136,1,Fri Feb 02 2024 06:46:52 GMT+0700 (Indochina Time),0.359,0.978,10.316
136,1,Fri Feb 02 2024 06:46:52 GMT+0700 (Indochina Time),0.365,0.973,10.318
136,1,Fri Feb 02 2024 06:46:52 GMT+0700 (Indochina Time),0.356,0.963,10.321
136,1,Fri Feb 02 2024 06:46:52 GMT+0700 (Indochina Time),0.365,0.953,10.327
