customer,activity,createdAt,x,y,z
171,1,Fri Feb 16 2024 06:21:24 GMT+0700 (Indochina Time),-0.182,6.944,6.6
171,1,Fri Feb 16 2024 06:21:28 GMT+0700 (Indochina Time),-0.15,6.953,6.581
171,1,Fri Feb 16 2024 06:21:25 GMT+0700 (Indochina Time),-0.128,6.96,6.565
171,1,Fri Feb 16 2024 06:21:24 GMT+0700 (Indochina Time),-0.152,6.959,6.581
171,1,Fri Feb 16 2024 06:21:24 GMT+0700 (Indochina Time),-0.182,6.949,6.593
171,1,Fri Feb 16 2024 06:21:25 GMT+0700 (Indochina Time),-0.179,6.945,6.595
171,1,Fri Feb 16 2024 06:21:25 GMT+0700 (Indochina Time),-0.134,6.956,6.567
171,1,Fri Feb 16 2024 06:21:24 GMT+0700 (Indochina Time),-0.189,6.944,6.592
171,1,Fri Feb 16 2024 06:21:25 GMT+0700 (Indochina Time),-0.158,6.951,6.59
171,1,Fri Feb 16 2024 06:21:26 GMT+0700 (Indochina Time),-0.128,6.964,6.566
171,1,Fri Feb 16 2024 06:21:25 GMT+0700 (Indochina Time),-0.163,6.949,6.587
171,1,Fri Feb 16 2024 06:21:28 GMT+0700 (Indochina Time),-0.153,6.954,6.577
171,1,Fri Feb 16 2024 06:21:24 GMT+0700 (Indochina Time),-0.188,6.943,6.6
171,1,Fri Feb 16 2024 06:21:25 GMT+0700 (Indochina Time),-0.164,6.949,6.591
171,1,Fri Feb 16 2024 06:21:25 GMT+0700 (Indochina Time),-0.173,6.946,6.59
171,1,Fri Feb 16 2024 06:21:25 GMT+0700 (Indochina Time),-0.144,6.953,6.581
171,1,Fri Feb 16 2024 06:21:27 GMT+0700 (Indochina Time),-0.162,6.95,6.575
171,1,Fri Feb 16 2024 06:21:28 GMT+0700 (Indochina Time),-0.151,6.953,6.578
171,1,Fri Feb 16 2024 06:21:28 GMT+0700 (Indochina Time),-0.176,6.95,6.582
171,1,Fri Feb 16 2024 06:21:30 GMT+0700 (Indochina Time),-0.154,6.922,6.633
171,1,Fri Feb 16 2024 06:21:31 GMT+0700 (Indochina Time),-0.165,6.9,6.655
171,1,Fri Feb 16 2024 06:21:33 GMT+0700 (Indochina Time),-0.42,6.619,6.958
171,1,Fri Feb 16 2024 06:21:34 GMT+0700 (Indochina Time),-0.42,6.364,7.125
171,1,Fri Feb 16 2024 06:21:35 GMT+0700 (Indochina Time),0.636,8.066,4.26
171,1,Fri Feb 16 2024 06:21:37 GMT+0700 (Indochina Time),0.484,7.19,6.377
171,1,Fri Feb 16 2024 06:21:42 GMT+0700 (Indochina Time),0.239,6.857,6.707
171,1,Fri Feb 16 2024 06:21:48 GMT+0700 (Indochina Time),-0.033,6.618,6.913
171,1,Fri Feb 16 2024 06:21:48 GMT+0700 (Indochina Time),0.018,6.615,6.919
171,1,Fri Feb 16 2024 06:21:49 GMT+0700 (Indochina Time),0.015,6.629,6.902
