customer,activity,createdAt,x,y,z
114,1,Mon Dec 25 2023 06:12:38 GMT+0700 (Indochina Time),2.326,5.591,7.405
114,1,Mon Dec 25 2023 06:12:38 GMT+0700 (Indochina Time),2.504,5.506,7.399
114,1,Mon Dec 25 2023 06:12:38 GMT+0700 (Indochina Time),2.506,5.503,7.395
114,1,Mon Dec 25 2023 06:12:40 GMT+0700 (Indochina Time),2.462,5.511,7.405
114,1,Mon Dec 25 2023 06:12:40 GMT+0700 (Indochina Time),1.635,5.536,7.418
114,1,Mon Dec 25 2023 06:12:41 GMT+0700 (Indochina Time),-0.283,5.684,7.38
114,1,Mon Dec 25 2023 06:12:42 GMT+0700 (Indochina Time),-1.379,6.129,7.124
114,1,Mon Dec 25 2023 06:12:42 GMT+0700 (Indochina Time),-1.476,6.351,6.868
114,1,Mon Dec 25 2023 06:12:43 GMT+0700 (Indochina Time),-1.501,6.396,6.793
114,1,Mon Dec 25 2023 06:12:43 GMT+0700 (Indochina Time),-0.347,6.303,6.987
114,1,Mon Dec 25 2023 06:12:44 GMT+0700 (Indochina Time),0.642,6.048,7.226
114,1,Mon Dec 25 2023 06:12:44 GMT+0700 (Indochina Time),0.199,6.087,7.21
114,1,Mon Dec 25 2023 06:12:44 GMT+0700 (Indochina Time),-0.127,6.116,7.202
114,1,Mon Dec 25 2023 06:12:45 GMT+0700 (Indochina Time),-0.264,6.135,7.191
114,1,Mon Dec 25 2023 06:12:46 GMT+0700 (Indochina Time),-0.399,6.134,7.191
114,1,Mon Dec 25 2023 06:12:46 GMT+0700 (Indochina Time),-0.416,6.129,7.194
114,1,Mon Dec 25 2023 06:12:46 GMT+0700 (Indochina Time),-0.423,6.126,7.194
114,1,Mon Dec 25 2023 06:12:47 GMT+0700 (Indochina Time),-0.477,6.116,7.194
114,1,Mon Dec 25 2023 06:12:47 GMT+0700 (Indochina Time),-0.474,6.116,7.197
114,1,Mon Dec 25 2023 06:12:47 GMT+0700 (Indochina Time),-0.475,6.117,7.198
114,1,Mon Dec 25 2023 06:12:49 GMT+0700 (Indochina Time),-0.476,6.092,7.209
114,1,Mon Dec 25 2023 06:12:49 GMT+0700 (Indochina Time),-0.476,6.091,7.209
114,1,Mon Dec 25 2023 06:12:49 GMT+0700 (Indochina Time),-0.476,6.09,7.215
114,1,Mon Dec 25 2023 06:12:49 GMT+0700 (Indochina Time),-0.479,6.087,7.217
114,1,Mon Dec 25 2023 06:12:49 GMT+0700 (Indochina Time),-0.483,6.086,7.216
114,1,Mon Dec 25 2023 06:12:51 GMT+0700 (Indochina Time),-0.479,6.097,7.209
114,1,Mon Dec 25 2023 06:12:51 GMT+0700 (Indochina Time),-0.482,6.096,7.209
114,1,Mon Dec 25 2023 06:12:51 GMT+0700 (Indochina Time),-0.484,6.095,7.211
114,1,Mon Dec 25 2023 06:12:52 GMT+0700 (Indochina Time),-0.487,6.089,7.216
114,1,Mon Dec 25 2023 06:12:52 GMT+0700 (Indochina Time),-0.488,6.083,7.217
114,1,Mon Dec 25 2023 06:12:53 GMT+0700 (Indochina Time),-0.491,6.076,7.22
114,1,Mon Dec 25 2023 06:12:53 GMT+0700 (Indochina Time),-0.489,6.078,7.22
114,1,Mon Dec 25 2023 06:12:54 GMT+0700 (Indochina Time),-0.486,6.075,7.224
114,1,Mon Dec 25 2023 06:12:55 GMT+0700 (Indochina Time),-0.488,6.052,7.246
114,1,Mon Dec 25 2023 06:12:55 GMT+0700 (Indochina Time),-0.488,6.052,7.25
114,1,Mon Dec 25 2023 06:12:56 GMT+0700 (Indochina Time),-0.489,6.043,7.259
114,1,Mon Dec 25 2023 06:12:58 GMT+0700 (Indochina Time),-0.483,6.037,7.256
114,1,Mon Dec 25 2023 06:12:58 GMT+0700 (Indochina Time),-0.484,6.033,7.261
114,1,Mon Dec 25 2023 06:12:58 GMT+0700 (Indochina Time),-0.484,6.03,7.265
114,1,Mon Dec 25 2023 06:13:00 GMT+0700 (Indochina Time),-0.485,6.017,7.264
114,1,Mon Dec 25 2023 06:13:01 GMT+0700 (Indochina Time),-0.489,6.009,7.268
114,1,Mon Dec 25 2023 06:13:01 GMT+0700 (Indochina Time),-0.49,6.004,7.272
114,1,Mon Dec 25 2023 06:13:01 GMT+0700 (Indochina Time),-0.49,5.985,7.286
114,1,Mon Dec 25 2023 06:13:02 GMT+0700 (Indochina Time),-0.495,5.969,7.288
114,1,Mon Dec 25 2023 06:13:02 GMT+0700 (Indochina Time),-0.494,5.967,7.291
114,1,Mon Dec 25 2023 06:13:02 GMT+0700 (Indochina Time),-0.491,5.967,7.293
114,1,Mon Dec 25 2023 06:13:03 GMT+0700 (Indochina Time),-0.488,5.957,7.303
114,1,Mon Dec 25 2023 06:13:06 GMT+0700 (Indochina Time),-1.614,5.969,7.095
114,1,Mon Dec 25 2023 06:13:07 GMT+0700 (Indochina Time),-1.648,5.932,7.109
114,1,Mon Dec 25 2023 06:13:07 GMT+0700 (Indochina Time),-1.558,5.886,7.165
114,1,Mon Dec 25 2023 06:13:09 GMT+0700 (Indochina Time),-1.407,5.907,7.171
114,1,Mon Dec 25 2023 06:13:10 GMT+0700 (Indochina Time),-1.475,5.919,7.152
114,1,Mon Dec 25 2023 06:13:10 GMT+0700 (Indochina Time),-1.498,5.916,7.151
114,1,Mon Dec 25 2023 06:13:10 GMT+0700 (Indochina Time),-1.513,5.911,7.151
114,1,Mon Dec 25 2023 06:13:11 GMT+0700 (Indochina Time),-1.536,5.916,7.14
114,1,Mon Dec 25 2023 06:13:13 GMT+0700 (Indochina Time),-1.592,5.936,7.094
114,1,Mon Dec 25 2023 06:13:14 GMT+0700 (Indochina Time),-1.616,5.936,7.085
114,1,Mon Dec 25 2023 06:13:16 GMT+0700 (Indochina Time),-1.664,5.951,7.068
114,1,Mon Dec 25 2023 06:13:18 GMT+0700 (Indochina Time),-1.67,5.965,7.071
114,1,Mon Dec 25 2023 06:13:18 GMT+0700 (Indochina Time),-1.673,5.962,7.075
114,1,Mon Dec 25 2023 06:13:18 GMT+0700 (Indochina Time),-1.676,5.959,7.077
114,1,Mon Dec 25 2023 06:13:19 GMT+0700 (Indochina Time),-1.678,5.952,7.076
114,1,Mon Dec 25 2023 06:13:19 GMT+0700 (Indochina Time),-1.679,5.953,7.078
114,1,Mon Dec 25 2023 06:13:21 GMT+0700 (Indochina Time),-1.676,5.947,7.086
114,1,Mon Dec 25 2023 06:13:21 GMT+0700 (Indochina Time),-1.677,5.944,7.086
114,1,Mon Dec 25 2023 06:13:22 GMT+0700 (Indochina Time),-1.684,5.946,7.083
114,1,Mon Dec 25 2023 06:12:39 GMT+0700 (Indochina Time),2.477,5.509,7.402
114,1,Mon Dec 25 2023 06:12:39 GMT+0700 (Indochina Time),2.469,5.51,7.402
114,1,Mon Dec 25 2023 06:12:40 GMT+0700 (Indochina Time),2.455,5.513,7.404
114,1,Mon Dec 25 2023 06:12:40 GMT+0700 (Indochina Time),2.451,5.513,7.404
114,1,Mon Dec 25 2023 06:12:42 GMT+0700 (Indochina Time),-1.485,6.302,6.929
114,1,Mon Dec 25 2023 06:12:43 GMT+0700 (Indochina Time),-1.302,6.369,6.872
114,1,Mon Dec 25 2023 06:12:44 GMT+0700 (Indochina Time),0.705,6.1,7.154
114,1,Mon Dec 25 2023 06:12:44 GMT+0700 (Indochina Time),0.46,6.051,7.224
114,1,Mon Dec 25 2023 06:12:45 GMT+0700 (Indochina Time),-0.257,6.133,7.19
114,1,Mon Dec 25 2023 06:12:45 GMT+0700 (Indochina Time),-0.271,6.136,7.191
114,1,Mon Dec 25 2023 06:12:45 GMT+0700 (Indochina Time),-0.315,6.14,7.188
114,1,Mon Dec 25 2023 06:12:45 GMT+0700 (Indochina Time),-0.328,6.14,7.188
114,1,Mon Dec 25 2023 06:12:46 GMT+0700 (Indochina Time),-0.462,6.117,7.198
114,1,Mon Dec 25 2023 06:12:47 GMT+0700 (Indochina Time),-0.474,6.116,7.198
114,1,Mon Dec 25 2023 06:12:48 GMT+0700 (Indochina Time),-0.47,6.109,7.2
114,1,Mon Dec 25 2023 06:12:48 GMT+0700 (Indochina Time),-0.472,6.107,7.201
114,1,Mon Dec 25 2023 06:12:48 GMT+0700 (Indochina Time),-0.472,6.106,7.202
114,1,Mon Dec 25 2023 06:12:50 GMT+0700 (Indochina Time),-0.481,6.088,7.213
114,1,Mon Dec 25 2023 06:12:50 GMT+0700 (Indochina Time),-0.48,6.089,7.211
114,1,Mon Dec 25 2023 06:12:50 GMT+0700 (Indochina Time),-0.478,6.092,7.21
114,1,Mon Dec 25 2023 06:12:50 GMT+0700 (Indochina Time),-0.479,6.097,7.207
114,1,Mon Dec 25 2023 06:12:51 GMT+0700 (Indochina Time),-0.48,6.097,7.205
114,1,Mon Dec 25 2023 06:12:52 GMT+0700 (Indochina Time),-0.487,6.085,7.213
114,1,Mon Dec 25 2023 06:12:52 GMT+0700 (Indochina Time),-0.49,6.082,7.217
114,1,Mon Dec 25 2023 06:12:52 GMT+0700 (Indochina Time),-0.492,6.077,7.22
114,1,Mon Dec 25 2023 06:12:54 GMT+0700 (Indochina Time),-0.488,6.077,7.225
114,1,Mon Dec 25 2023 06:12:56 GMT+0700 (Indochina Time),-0.486,6.043,7.256
114,1,Mon Dec 25 2023 06:12:57 GMT+0700 (Indochina Time),-0.484,6.046,7.253
114,1,Mon Dec 25 2023 06:12:59 GMT+0700 (Indochina Time),-0.491,6.017,7.259
114,1,Mon Dec 25 2023 06:13:00 GMT+0700 (Indochina Time),-0.488,6.018,7.259
114,1,Mon Dec 25 2023 06:13:00 GMT+0700 (Indochina Time),-0.488,6.018,7.261
114,1,Mon Dec 25 2023 06:13:00 GMT+0700 (Indochina Time),-0.485,6.017,7.262
114,1,Mon Dec 25 2023 06:13:02 GMT+0700 (Indochina Time),-0.496,5.97,7.289
114,1,Mon Dec 25 2023 06:13:02 GMT+0700 (Indochina Time),-0.494,5.966,7.293
114,1,Mon Dec 25 2023 06:13:03 GMT+0700 (Indochina Time),-0.487,5.952,7.309
114,1,Mon Dec 25 2023 06:13:04 GMT+0700 (Indochina Time),-0.492,5.947,7.308
114,1,Mon Dec 25 2023 06:13:04 GMT+0700 (Indochina Time),-0.492,5.943,7.308
114,1,Mon Dec 25 2023 06:13:04 GMT+0700 (Indochina Time),-0.501,5.934,7.316
114,1,Mon Dec 25 2023 06:13:05 GMT+0700 (Indochina Time),-0.76,5.885,7.314
114,1,Mon Dec 25 2023 06:13:05 GMT+0700 (Indochina Time),-1.574,5.919,7.207
114,1,Mon Dec 25 2023 06:13:06 GMT+0700 (Indochina Time),-1.628,5.988,7.086
114,1,Mon Dec 25 2023 06:13:07 GMT+0700 (Indochina Time),-1.652,5.94,7.103
114,1,Mon Dec 25 2023 06:13:07 GMT+0700 (Indochina Time),-1.62,5.896,7.134
114,1,Mon Dec 25 2023 06:13:08 GMT+0700 (Indochina Time),-0.763,5.767,7.28
114,1,Mon Dec 25 2023 06:13:08 GMT+0700 (Indochina Time),-0.571,5.764,7.303
114,1,Mon Dec 25 2023 06:13:09 GMT+0700 (Indochina Time),-1.397,5.892,7.183
114,1,Mon Dec 25 2023 06:13:09 GMT+0700 (Indochina Time),-1.432,5.915,7.164
114,1,Mon Dec 25 2023 06:13:10 GMT+0700 (Indochina Time),-1.525,5.914,7.146
114,1,Mon Dec 25 2023 06:13:11 GMT+0700 (Indochina Time),-1.539,5.918,7.13
114,1,Mon Dec 25 2023 06:13:12 GMT+0700 (Indochina Time),-1.546,5.951,7.104
114,1,Mon Dec 25 2023 06:13:13 GMT+0700 (Indochina Time),-1.596,5.935,7.091
114,1,Mon Dec 25 2023 06:13:14 GMT+0700 (Indochina Time),-1.62,5.943,7.08
114,1,Mon Dec 25 2023 06:13:15 GMT+0700 (Indochina Time),-1.64,5.961,7.066
114,1,Mon Dec 25 2023 06:13:15 GMT+0700 (Indochina Time),-1.658,5.959,7.066
114,1,Mon Dec 25 2023 06:13:17 GMT+0700 (Indochina Time),-1.665,5.96,7.07
114,1,Mon Dec 25 2023 06:13:17 GMT+0700 (Indochina Time),-1.666,5.961,7.068
114,1,Mon Dec 25 2023 06:13:17 GMT+0700 (Indochina Time),-1.665,5.964,7.071
114,1,Mon Dec 25 2023 06:13:18 GMT+0700 (Indochina Time),-1.666,5.964,7.07
114,1,Mon Dec 25 2023 06:13:18 GMT+0700 (Indochina Time),-1.671,5.963,7.074
114,1,Mon Dec 25 2023 06:13:19 GMT+0700 (Indochina Time),-1.677,5.953,7.079
114,1,Mon Dec 25 2023 06:13:19 GMT+0700 (Indochina Time),-1.68,5.951,7.081
114,1,Mon Dec 25 2023 06:13:20 GMT+0700 (Indochina Time),-1.673,5.959,7.076
114,1,Mon Dec 25 2023 06:13:20 GMT+0700 (Indochina Time),-1.669,5.96,7.075
114,1,Mon Dec 25 2023 06:13:25 GMT+0700 (Indochina Time),-1.692,5.946,7.078
114,1,Mon Dec 25 2023 06:12:40 GMT+0700 (Indochina Time),1.267,5.545,7.419
114,1,Mon Dec 25 2023 06:12:38 GMT+0700 (Indochina Time),2.506,5.504,7.394
114,1,Mon Dec 25 2023 06:12:41 GMT+0700 (Indochina Time),0.083,5.605,7.398
114,1,Mon Dec 25 2023 06:12:42 GMT+0700 (Indochina Time),-1.491,6.38,6.827
114,1,Mon Dec 25 2023 06:12:43 GMT+0700 (Indochina Time),-1.504,6.395,6.808
114,1,Mon Dec 25 2023 06:12:43 GMT+0700 (Indochina Time),-1.488,6.406,6.82
114,1,Mon Dec 25 2023 06:12:44 GMT+0700 (Indochina Time),0.009,6.097,7.207
114,1,Mon Dec 25 2023 06:12:45 GMT+0700 (Indochina Time),-0.35,6.14,7.186
114,1,Mon Dec 25 2023 06:12:48 GMT+0700 (Indochina Time),-0.473,6.114,7.196
114,1,Mon Dec 25 2023 06:12:50 GMT+0700 (Indochina Time),-0.478,6.094,7.206
114,1,Mon Dec 25 2023 06:12:50 GMT+0700 (Indochina Time),-0.48,6.096,7.207
114,1,Mon Dec 25 2023 06:12:51 GMT+0700 (Indochina Time),-0.48,6.097,7.208
114,1,Mon Dec 25 2023 06:12:51 GMT+0700 (Indochina Time),-0.48,6.098,7.208
114,1,Mon Dec 25 2023 06:12:52 GMT+0700 (Indochina Time),-0.486,6.093,7.212
114,1,Mon Dec 25 2023 06:12:53 GMT+0700 (Indochina Time),-0.492,6.076,7.22
114,1,Mon Dec 25 2023 06:12:53 GMT+0700 (Indochina Time),-0.49,6.076,7.219
114,1,Mon Dec 25 2023 06:12:54 GMT+0700 (Indochina Time),-0.487,6.076,7.225
114,1,Mon Dec 25 2023 06:12:55 GMT+0700 (Indochina Time),-0.488,6.064,7.234
114,1,Mon Dec 25 2023 06:12:55 GMT+0700 (Indochina Time),-0.486,6.056,7.24
114,1,Mon Dec 25 2023 06:12:55 GMT+0700 (Indochina Time),-0.486,6.055,7.243
114,1,Mon Dec 25 2023 06:12:55 GMT+0700 (Indochina Time),-0.489,6.049,7.249
114,1,Mon Dec 25 2023 06:12:56 GMT+0700 (Indochina Time),-0.49,6.045,7.25
114,1,Mon Dec 25 2023 06:12:58 GMT+0700 (Indochina Time),-0.482,6.039,7.252
114,1,Mon Dec 25 2023 06:12:58 GMT+0700 (Indochina Time),-0.483,6.035,7.257
114,1,Mon Dec 25 2023 06:12:58 GMT+0700 (Indochina Time),-0.484,6.031,7.263
114,1,Mon Dec 25 2023 06:12:58 GMT+0700 (Indochina Time),-0.485,6.027,7.266
114,1,Mon Dec 25 2023 06:12:59 GMT+0700 (Indochina Time),-0.489,6.022,7.265
114,1,Mon Dec 25 2023 06:12:59 GMT+0700 (Indochina Time),-0.491,6.017,7.263
114,1,Mon Dec 25 2023 06:13:00 GMT+0700 (Indochina Time),-0.485,6.015,7.266
114,1,Mon Dec 25 2023 06:13:01 GMT+0700 (Indochina Time),-0.488,6.012,7.269
114,1,Mon Dec 25 2023 06:13:01 GMT+0700 (Indochina Time),-0.49,6,7.278
114,1,Mon Dec 25 2023 06:13:03 GMT+0700 (Indochina Time),-0.489,5.959,7.303
114,1,Mon Dec 25 2023 06:13:05 GMT+0700 (Indochina Time),-1.69,5.949,7.136
114,1,Mon Dec 25 2023 06:13:06 GMT+0700 (Indochina Time),-1.652,5.977,7.099
114,1,Mon Dec 25 2023 06:13:06 GMT+0700 (Indochina Time),-1.631,5.985,7.083
114,1,Mon Dec 25 2023 06:13:06 GMT+0700 (Indochina Time),-1.637,5.947,7.102
114,1,Mon Dec 25 2023 06:13:12 GMT+0700 (Indochina Time),-1.542,5.947,7.104
114,1,Mon Dec 25 2023 06:13:12 GMT+0700 (Indochina Time),-1.544,5.949,7.102
114,1,Mon Dec 25 2023 06:13:12 GMT+0700 (Indochina Time),-1.547,5.953,7.104
114,1,Mon Dec 25 2023 06:13:13 GMT+0700 (Indochina Time),-1.566,5.947,7.095
114,1,Mon Dec 25 2023 06:13:13 GMT+0700 (Indochina Time),-1.57,5.949,7.092
114,1,Mon Dec 25 2023 06:13:13 GMT+0700 (Indochina Time),-1.607,5.934,7.092
114,1,Mon Dec 25 2023 06:13:14 GMT+0700 (Indochina Time),-1.612,5.935,7.092
114,1,Mon Dec 25 2023 06:13:16 GMT+0700 (Indochina Time),-1.671,5.95,7.073
114,1,Mon Dec 25 2023 06:13:16 GMT+0700 (Indochina Time),-1.673,5.949,7.075
114,1,Mon Dec 25 2023 06:13:17 GMT+0700 (Indochina Time),-1.666,5.955,7.07
114,1,Mon Dec 25 2023 06:13:17 GMT+0700 (Indochina Time),-1.666,5.958,7.07
114,1,Mon Dec 25 2023 06:13:17 GMT+0700 (Indochina Time),-1.666,5.964,7.069
114,1,Mon Dec 25 2023 06:13:19 GMT+0700 (Indochina Time),-1.68,5.952,7.079
114,1,Mon Dec 25 2023 06:13:19 GMT+0700 (Indochina Time),-1.677,5.952,7.077
114,1,Mon Dec 25 2023 06:13:20 GMT+0700 (Indochina Time),-1.675,5.954,7.078
114,1,Mon Dec 25 2023 06:13:20 GMT+0700 (Indochina Time),-1.67,5.96,7.076
114,1,Mon Dec 25 2023 06:13:21 GMT+0700 (Indochina Time),-1.669,5.957,7.077
114,1,Mon Dec 25 2023 06:13:23 GMT+0700 (Indochina Time),-1.679,5.957,7.077
114,1,Mon Dec 25 2023 06:13:25 GMT+0700 (Indochina Time),-1.69,5.948,7.086
114,1,Mon Dec 25 2023 06:13:27 GMT+0700 (Indochina Time),-1.691,5.944,7.078
114,1,Mon Dec 25 2023 06:13:27 GMT+0700 (Indochina Time),-1.694,5.939,7.083
114,1,Mon Dec 25 2023 06:13:28 GMT+0700 (Indochina Time),-1.7,5.926,7.09
114,1,Mon Dec 25 2023 06:13:29 GMT+0700 (Indochina Time),-1.695,5.933,7.088
114,1,Mon Dec 25 2023 06:13:30 GMT+0700 (Indochina Time),-1.694,5.933,7.094
114,1,Mon Dec 25 2023 06:13:30 GMT+0700 (Indochina Time),-1.703,5.926,7.095
114,1,Mon Dec 25 2023 06:12:38 GMT+0700 (Indochina Time),2.507,5.503,7.394
114,1,Mon Dec 25 2023 06:12:39 GMT+0700 (Indochina Time),2.513,5.497,7.401
114,1,Mon Dec 25 2023 06:12:39 GMT+0700 (Indochina Time),2.489,5.506,7.399
114,1,Mon Dec 25 2023 06:12:39 GMT+0700 (Indochina Time),2.488,5.507,7.401
114,1,Mon Dec 25 2023 06:12:39 GMT+0700 (Indochina Time),2.486,5.507,7.403
114,1,Mon Dec 25 2023 06:12:41 GMT+0700 (Indochina Time),-1.297,6.065,7.177
114,1,Mon Dec 25 2023 06:12:42 GMT+0700 (Indochina Time),-1.481,6.368,6.851
114,1,Mon Dec 25 2023 06:12:42 GMT+0700 (Indochina Time),-1.495,6.384,6.824
114,1,Mon Dec 25 2023 06:12:43 GMT+0700 (Indochina Time),-1.503,6.395,6.813
114,1,Mon Dec 25 2023 06:12:43 GMT+0700 (Indochina Time),0.341,6.223,7.049
114,1,Mon Dec 25 2023 06:12:44 GMT+0700 (Indochina Time),0.711,6.052,7.219
114,1,Mon Dec 25 2023 06:12:45 GMT+0700 (Indochina Time),-0.373,6.137,7.189
