customer,activity,createdAt,x,y,z
134,3,Thu Jan 25 2024 05:55:25 GMT+0700 (Indochina Time),-9.451,0.44,-0.304
134,3,Thu Jan 25 2024 05:55:23 GMT+0700 (Indochina Time),-9.465,0.72,-0.263
134,3,Thu Jan 25 2024 05:55:23 GMT+0700 (Indochina Time),-9.443,0.48,-0.293
134,3,Thu Jan 25 2024 05:55:23 GMT+0700 (Indochina Time),-9.443,0.573,-0.221
134,3,Thu Jan 25 2024 05:55:25 GMT+0700 (Indochina Time),-9.455,0.451,-0.305
134,3,Thu Jan 25 2024 05:55:23 GMT+0700 (Indochina Time),-9.438,0.476,0.613
134,3,Thu Jan 25 2024 05:55:24 GMT+0700 (Indochina Time),-9.452,0.451,-0.402
134,3,Thu Jan 25 2024 05:55:25 GMT+0700 (Indochina Time),-9.451,0.472,-0.171
134,3,Thu Jan 25 2024 05:55:26 GMT+0700 (Indochina Time),-9.455,0.455,-0.252
134,3,Thu Jan 25 2024 05:55:26 GMT+0700 (Indochina Time),-9.453,0.449,-0.323
134,3,Thu Jan 25 2024 05:55:27 GMT+0700 (Indochina Time),-9.441,0.37,-0.766
134,3,Thu Jan 25 2024 05:55:29 GMT+0700 (Indochina Time),-9.437,0.352,-0.78
134,3,Thu Jan 25 2024 05:55:29 GMT+0700 (Indochina Time),-9.507,0.284,-0.868
134,3,Thu Jan 25 2024 05:55:31 GMT+0700 (Indochina Time),-9.5,0.293,-0.929
134,3,Thu Jan 25 2024 05:55:36 GMT+0700 (Indochina Time),-9.506,0.328,-0.625
134,3,Thu Jan 25 2024 05:55:37 GMT+0700 (Indochina Time),-9.506,0.336,-0.692
134,3,Thu Jan 25 2024 05:55:40 GMT+0700 (Indochina Time),-9.509,0.392,-0.581
134,3,Thu Jan 25 2024 05:55:40 GMT+0700 (Indochina Time),-9.508,0.385,-0.624
134,3,Thu Jan 25 2024 05:55:40 GMT+0700 (Indochina Time),-9.507,0.38,-0.646
134,3,Thu Jan 25 2024 05:55:41 GMT+0700 (Indochina Time),-9.509,0.381,-0.651
134,3,Thu Jan 25 2024 05:55:43 GMT+0700 (Indochina Time),-9.507,0.387,-0.617
134,3,Thu Jan 25 2024 05:55:44 GMT+0700 (Indochina Time),-9.507,0.395,-0.582
134,3,Thu Jan 25 2024 05:55:45 GMT+0700 (Indochina Time),-9.508,0.392,-0.612
134,3,Thu Jan 25 2024 05:55:47 GMT+0700 (Indochina Time),-9.515,0.407,-0.462
134,3,Thu Jan 25 2024 05:55:51 GMT+0700 (Indochina Time),-9.542,-0.116,0.197
134,3,Thu Jan 25 2024 05:55:52 GMT+0700 (Indochina Time),-9.733,-0.309,-0.02
134,3,Thu Jan 25 2024 05:55:53 GMT+0700 (Indochina Time),-9.735,-0.311,-0.03
134,3,Thu Jan 25 2024 05:55:53 GMT+0700 (Indochina Time),-9.732,-0.311,0.027
134,3,Thu Jan 25 2024 05:55:54 GMT+0700 (Indochina Time),-9.733,-0.313,0.048
134,3,Thu Jan 25 2024 05:55:55 GMT+0700 (Indochina Time),-9.736,-0.312,0.046
134,3,Thu Jan 25 2024 05:55:56 GMT+0700 (Indochina Time),-9.734,-0.311,0.045
134,3,Thu Jan 25 2024 05:56:00 GMT+0700 (Indochina Time),-9.735,-0.302,0.106
134,3,Thu Jan 25 2024 05:56:01 GMT+0700 (Indochina Time),-9.51,0.48,1.616
134,3,Thu Jan 25 2024 05:56:03 GMT+0700 (Indochina Time),-9.694,-0.104,-0.955
134,3,Thu Jan 25 2024 05:56:12 GMT+0700 (Indochina Time),-9.715,-0.071,-0.802
134,3,Thu Jan 25 2024 05:56:14 GMT+0700 (Indochina Time),-9.688,0.465,0.129
134,3,Thu Jan 25 2024 05:56:16 GMT+0700 (Indochina Time),-9.679,0.17,0.678
134,3,Thu Jan 25 2024 05:56:17 GMT+0700 (Indochina Time),-9.643,0.073,1.043
134,3,Thu Jan 25 2024 05:55:27 GMT+0700 (Indochina Time),-9.851,-0.002,-1.064
134,3,Thu Jan 25 2024 05:55:27 GMT+0700 (Indochina Time),-9.85,-0.032,-1.152
